VOIE_ID;Arrondissement;Libellé voie long;type voie court;dénomination voie court;Geo Point
B012;75007;PARKING DU CHAMP DE MARS;PK;CHAMP DE MARS;48.856265, 2.305055
B014;75015;PARKING DE LA RUE DE LA PORTE D ISSY;PK;RUE D PTE D ISSY;48.833147, 2.282259
B015;75015;PARKING DE LA PLACE DE LA PORTE DE VERSAILLES;PK;P P D VERSAILLES;48.83234, 2.287667
B104;75015;ESPLANADE HENRI DE FRANCE;ESP;HENRI DE FRANCE;48.839091, 2.270528
B123;75017;JARDIN LILY LASKINE;JAR;LILY LASKINE;
B129;75016;SQUARE DU TCHAD;SQ;TCHAD;48.855792, 2.26845
B132;75013;SQUARE LOUIS SAY;SQ;LOUIS SAY;48.833619, 2.366209
B136;75014;ALLEE SAMUEL BECKETT;ALL;SAMUEL BECKETT;48.827302, 2.33503
B137;75011;SQUARE LOUIS MAJORELLE;SQ;LOUIS MAJORELLE;48.860894, 2.382394
B150;75011;SQUARE DES JARDINIERS;SQ;JARDINIERS;48.852164, 2.392039
B151;75016;ESPLANADE BERNARD DUPERIER;ESP;BERNARD DUPERIER;48.862102, 2.291197
P030;75016;SOUTERRAIN ALMA;SOU;ALMA;48.86442, 2.301342
P040;75017;SOUTERRAIN ASNIERES;SOU;ASNIERES;48.891194, 2.302366
P049;75020;ZAC DE BELLEVILLE;ZAC;DE BELLEVILLE;48.875461, 2.391687
P052;75012;ZAC BERCY;ZAC;BERCY;48.841871, 2.376821
P058;75015;PORTE BRANCION;POR;BRANCION;48.827051, 2.300816
P061;75014;VOIE SNCF PETITE CEINTURE 56;VO;SNCF PE CEINTURE;
P071;75018;VOIE SNCF PETITE CEINTURE 69;VO;SNCF PE CEINTURE;48.898026, 2.349668
P074;75019;VOIE SNCF PETITE CEINTURE 75;VO;SNCF PE CEINTURE;
P076;75012;ZAC CHALON;ZAC;CHALON;48.844568, 2.376282
P078;75020;VOIE SNCF PETITE CEINTURE 80;VO;SNCF PE CEINTURE;
P080;75017;SOUTERRAIN CHAMPERRET;SOU;CHAMPERRET;48.885814, 2.290416
P089;75018;PORTE DE LA CHAPELLE;POR;DE LA CHAPELLE;48.900951, 2.359661
P100;75012;SOUTERRAIN CHARENTON;SOU;CHARENTON;48.843057, 2.385522
P103;75014;PORTE DE CHATILLON;POR;DE CHATILLON;48.824224, 2.318798
P104;75019;PORTE CHAUMONT;POR;CHAUMONT;48.886169, 2.396634
P110;75017;SOUTERRAIN CLICHY;SOU;CLICHY;48.883522, 2.327428
P120;75018;SOUTERRAIN CLIGNANCOURT;SOU;CLIGNANCOURT;48.889454, 2.348237
P137;75012;ZAC CORBINEAU LACHAMBEAUDIE;ZAC;CO LACHAMBEAUDIE;
P139;75016;PORTE DAUPHINE;POR;DAUPHINE;48.878189, 2.266361
P147;75014;PORTE DIDOT;POR;DIDOT;48.825931, 2.310431
P150;75008;SOUTERRAIN ETOILE;SOU;ETOILE;
