"","N_SQ_AD","college"
"1",750112265,140
"2",750115556,1
"3",750142434,75
"4",750115177,1
"5",750118250,1
"6",750110111,75
"7",750109182,1
"8",750142431,75
"9",750142450,75
"10",750111479,75
"11",750116416,1
"12",750118251,1
"13",750108287,1
"14",750118291,1
"15",750110454,140
"16",750108298,1
"17",750111018,1
"18",750118099,1
"19",750118247,1
"20",750116132,140
"21",750112955,140
"22",750114959,1
"23",750117436,75
"24",750117423,140
"25",750115341,1
"26",750108297,1
"27",750116126,140
"28",750109960,1
"29",750115552,1
"30",750110116,75
"31",750112230,1
"32",750112317,140
"33",750118115,1
"34",750118160,1
"35",750110105,75
"36",750109057,1
"37",750116142,140
"38",750110451,140
"39",750110444,140
"40",750110456,140
"41",750112326,140
"42",750116422,1
"43",750110508,140
"44",750110448,140
"45",750108292,1
"46",750109053,1
"47",750115180,1
"48",750108285,1
"49",750113718,140
"50",750112949,140
"51",750109959,1
"52",750110112,75
"53",750111521,75
"54",750117283,189
"55",750110516,140
"56",750116133,140
"57",750177859,1
"58",750115546,1
"59",750115558,1
"60",750115557,1
"61",750115553,1
"62",750177529,1
"63",750113734,140
"64",750142477,75
"65",750110441,140
"66",750110455,140
"67",750118155,1
"68",750112945,140
"69",750115354,1
"70",750142426,75
"71",750142442,75
"72",750142453,75
"73",750116418,1
"74",750108290,1
"75",750110446,140
"76",750142448,75
"77",750112264,140
"78",750116428,1
"79",750115550,1
"80",750110526,140
"81",750112953,140
"82",750115179,1
"83",750177528,1
"84",750117426,75
"85",750118112,1
"86",750115549,1
"87",750109055,1
"88",750115364,1
"89",750115353,1
"90",750114939,1
"91",750142468,75
"92",750112948,140
"93",750112959,140
"94",750109955,1
"95",750114974,1
"96",750112950,140
"97",750116419,1
"98",750114962,1
"99",750116425,1
"100",750142427,75
"101",750116147,140
"102",750117293,189
"103",750142476,75
"104",750108702,140
"105",750112954,140
"106",750115358,1
"107",750112329,140
"108",750115365,1
"109",750108299,1
"110",750154587,75
"111",750142496,75
"112",750115548,1
"113",750111484,75
"114",750142447,75
"115",750142432,75
"116",750108295,1
"117",750110504,140
"118",750110501,140
"119",750113726,140
"120",750118100,1
"121",750115363,1
"122",750118784,193
"123",750116127,140
"124",750109090,140
"125",750142439,75
"126",750109961,1
"127",750113728,140
"128",750118292,1
"129",750146786,1
"130",750109947,1
"131",750142478,75
"132",750163518,75
"133",750142491,75
"134",750109958,1
"135",750113725,140
"136",750146487,75
"137",750109059,1
"138",750115182,1
"139",750114954,1
"140",750115175,1
"141",750110442,140
"142",750112321,140
"143",750113719,140
"144",750111351,1
"145",750158736,75
"146",750112323,140
"147",750112946,140
"148",750112956,140
"149",750112951,140
"150",750117289,189
"151",750110113,75
"152",750112322,140
"153",750108289,1
"154",750108293,1
"155",750140628,1
"156",750115547,1
"157",750115555,1
"158",750143918,189
"159",750108296,1
"160",750115559,1
"161",750109060,1
"162",750110533,140
"163",750145818,1
"164",750114943,1
"165",750118162,1
"166",750109950,1
"167",750113745,140
"168",750118102,1
"169",750111528,140
"170",750116415,1
"171",750114946,1
"172",750116431,1
"173",750152199,75
"174",750162828,75
"175",750115362,1
"176",750109957,1
"177",750114958,1
"178",750110445,140
"179",750115176,1
"180",750115178,1
"181",750111016,1
"182",750142464,75
"183",750142458,75
"184",750158740,75
"185",750118249,1
"186",750117432,75
"187",750115796,189
"188",750112320,140
"189",750114937,1
"190",750110108,75
"191",750110512,140
"192",750115560,1
"193",750114955,1
"194",750112269,140
"195",750110453,140
"196",750111486,75
"197",750110534,140
"198",750112324,140
"199",750111530,140
"200",750118095,1
"201",750153426,1
"202",750142498,75
"203",750108291,1
"204",750115119,1
"205",750111478,75
"206",750115368,1
"207",750155703,75
"208",750109948,1
"209",750113720,140
"210",750114957,1
"211",750109048,1
"212",750111533,140
"213",750142482,75
"214",750117349,140
"215",750114966,1
"216",750146497,75
"217",750171724,1
"218",750113731,140
"219",750115181,1
"220",750112229,1
"221",750113738,140
"222",750114969,1
"223",750111532,140
"224",750115348,1
"225",750108689,140
"226",750111517,75
"227",750115755,140
"228",750111362,1
"229",750152197,75
"230",750118111,1
"231",750113739,140
"232",750108294,1
"233",750110529,140
