"","X","libelle.complet","index","libelle","numero","rue","arrondissement","N_SQ_AD"
"1",1,"ECOLE MATERNELLE 149 RUE DE VAUGIRARD - PARIS 15",1,"ECOLE MATERNELLE","149","RUE DE VAUGIRARD",15,750118101
"2",2,"ECOLE ÉLÉMENTAIRE 20 RUE FALGUIERE - PARIS 15",2,"ECOLE ÉLÉMENTAIRE","20","RUE FALGUIERE",15,750111354
"3",3,"COLLÈGE BUFFON 16 BOULEVARD PASTEUR - PARIS 15",3,"COLLÈGE BUFFON","16","BD PASTEUR",15,750115860
"4",4,"ECOLE MATERNELLE 33 RUE DE POMMARD - PARIS 12",4,"ECOLE MATERNELLE","33","RUE DE POMMARD",12,750063194
"5",5,"ECOLE ÉLÉMENTAIRE 4 RUE DE POMMARD - PARIS 12",5,"ECOLE ÉLÉMENTAIRE","4","RUE DE POMMARD",12,750063221
"6",6,"COLLÈGE JULES VERNE 20 RUE DE LA BRECHE AUX LOUPS - PARIS 12",6,"COLLÈGE JULES VERNE","20","RUE DE LA BRECHE AUX LOUPS",12,750058527
"7",7,"ECOLE MATERNELLE 11-15 RUE JEAN DOLENT - PARIS 14",7,"ECOLE MATERNELLE","11-15","RUE JEAN DOLENT",14,750102231
"8",8,"ECOLE ÉLÉMENTAIRE 87 BOULEVARD ARAGO - PARIS 14",8,"ECOLE ÉLÉMENTAIRE","87","BD ARAGO",14,750098812
"9",9,"COLLÈGE SAINT-EXUPERY 89 BOULEVARD ARAGO - PARIS 14",9,"COLLÈGE SAINT-EXUPERY","89","BD ARAGO",14,750098813
"10",10,"ECOLE ÉLÉMENTAIRE 17 RUE LOUISE BOURGEOIS - PARIS 13",10,"ECOLE ÉLÉMENTAIRE","17","RUE LOUISE BOURGEOIS",13,750177192
"11",12,"ECOLE ÉLÉMENTAIRE 118 BOULEVARD MACDONALD - PARIS 19",12,"ECOLE ÉLÉMENTAIRE","118","BD MACDONALD",19,750018029
"12",13,"ECOLE ÉLÉMENTAIRE 141 BOULEVARD MACDONALD - PARIS 19",13,"ECOLE ÉLÉMENTAIRE","141","BD MACDONALD",19,750017942
"13",14,"COLLÈGE PARIS NORD EST 111 BOULEVARD MACDONALD - PARIS 19",14,"COLLÈGE PARIS NORD EST","111","BD MACDONALD",19,750017930
"14",15,"ECOLE MATERNELLE 97 RUE MOUFFETARD - PARIS 05",15,"ECOLE MATERNELLE","97","RUE MOUFFETARD",5,750024499
"15",16,"ECOLE ÉLÉMENTAIRE 2 RUE PIERRE BROSSOLETTE - PARIS 05",16,"ECOLE ÉLÉMENTAIRE","2","RUE PIERRE BROSSOLETTE",5,750024784
"16",17,"ECOLE MATERNELLE 61 RUE VITRUVE - PARIS 20",17,"ECOLE MATERNELLE","61","RUE VITRUVE",20,750096490
"17",18,"ECOLE ÉLÉMENTAIRE A 16 RUE RIBLETTE - PARIS 20",18,"ECOLE ÉLÉMENTAIRE A","16","RUE RIBLETTE",20,750094912
"18",19,"ECOLE ÉLÉMENTAIRE B 14 RUE RIBLETTE - PARIS 20",19,"ECOLE ÉLÉMENTAIRE B","14","RUE RIBLETTE",20,750094911
"19",20,"COLLÈGE FLORA TRISTAN 4 RUE GALLERON - PARIS 20",20,"COLLÈGE FLORA TRISTAN","4","RUE GALLERON",20,750089229
"20",21,"ECOLE MATERNELLE 7 RUE DE MOSCOU - PARIS 08",21,"ECOLE MATERNELLE","7","RUE DE MOSCOU",8,750038280
"21",22,"ECOLE ÉLÉMENTAIRE 4 RUE DE FLORENCE - PARIS 08",22,"ECOLE ÉLÉMENTAIRE","4","RUE DE FLORENCE",8,750036281
"22",23,"COLLÈGE CONDORCET 61 RUE D'AMSTERDAM - PARIS 08",23,"COLLÈGE CONDORCET","61","RUE D'AMSTERDAM",8,750034533
"23",24,"ECOLE ÉLÉMENTAIRE 69 RUE DE L'OUEST - PARIS 14",24,"ECOLE ÉLÉMENTAIRE","69","RUE DE L'OUEST",14,750103961
"24",25,"ECOLE ÉLÉMENTAIRE 18 RUE JEAN ZAY - PARIS 14",25,"ECOLE ÉLÉMENTAIRE","18","RUE JEAN ZAY",14,750102341
"25",26,"ECOLE MATERNELLE 13 RUE DE L'OUEST - PARIS 14",26,"ECOLE MATERNELLE","13","RUE DE L'OUEST",14,750104012
"26",27,"COLLÈGE PAUL BERT 7 RUE HUYGHENS - PARIS 14",27,"COLLÈGE PAUL BERT","7","RUE HUYGHENS",14,750102166
"27",28,"COLLÈGE THOMAS MANN 91 AVENUE DE FRANCE - PARIS 13",28,"COLLÈGE THOMAS MANN","91","AV DE FRANCE",13,750150699
"28",29,"ECOLE ÉLÉMENTAIRE 21 RUE PRIMO LEVI - PARIS 13",29,"ECOLE ÉLÉMENTAIRE","21","RUE PRIMO LEVI",13,750161471
"29",30,"ECOLE ÉLÉMENTAIRE 8-10 RUE GEORGE BALANCHINE - PARIS 13",30,"ECOLE ÉLÉMENTAIRE","8-10","RUE GEORGE BALANCHINE",13,750142044
"30",31,"ECOLE MATERNELLE 21 RUE DU CAPITAINE LAGACHE - PARIS 17",31,"ECOLE MATERNELLE","21","RUE DU CAPITAINE LAGACHE",17,750132178
"31",32,"ECOLE ÉLÉMENTAIRE 19 RUE DU CAPITAINE LAGACHE - PARIS 17",32,"ECOLE ÉLÉMENTAIRE","19","RUE DU CAPITAINE LAGACHE",17,750132177
"32",33,"COLLÈGE STEPHANE MALLARME 29 RUE DE LA JONQUIERE - PARIS 17",33,"COLLÈGE STEPHANE MALLARME","29","RUE DE LA JONQUIERE",17,750135739
"33",34,"ECOLE MATERNELLE 14 PASSAGE SAINT ANGE - PARIS 17",34,"ECOLE MATERNELLE","14","PAS SAINT ANGE",17,750138734
"34",35,"ECOLE ÉLÉMENTAIRE 42 RUE POUCHET - PARIS 17",35,"ECOLE ÉLÉMENTAIRE","42","RUE POUCHET",17,750138304
"35",36,"ECOLE MATERNELLE 95 RUE BALARD - PARIS 15",36,"ECOLE MATERNELLE","95","RUE BALARD",15,750107533
"36",37,"ECOLE ÉLÉMENTAIRE 146 AVENUE FELIX FAURE - PARIS 15",37,"ECOLE ÉLÉMENTAIRE","146","AV FELIX FAURE",15,750111695
"37",38,"ECOLE MATERNELLE 72 RUE GUTENBERG - PARIS 15",38,"ECOLE MATERNELLE","72","RUE GUTENBERG",15,750112804
"38",39,"ECOLE ÉLÉMENTAIRE 50 RUE GUTENBERG - PARIS 15",39,"ECOLE ÉLÉMENTAIRE","50","RUE GUTENBERG",15,750112823
