"","Code_voie","Type.de.voie","Nom.de.la.voie","N..D�but.exclu.sauf.0.","Bis.Ter.Quat.","N..fin.inclus","Bis.Ter.Quat..1","Pair..P..Impair..I.","Ecole"
"1","0002","RUE DE L","ABBAYE",0,"",9999,"","i","Ecole élémentaire 42 RUE MADAME - PARIS 06"
"2","0002","RUE DE L","ABBAYE",0,"",9999,"","i","Ecole élémentaire 12 RUE SAINT BENOIT - PARIS 06"
"3","0002","RUE DE L","ABBAYE",0,"",9999,"","p","Ecole élémentaire 42 RUE MADAME - PARIS 06"
"4","0002","RUE DE L","ABBAYE",0,"",9999,"","p","Ecole élémentaire 12 RUE SAINT BENOIT - PARIS 06"
"5","0003","RUE DE L","ABBE CARTON",0,"",9999,"","i","Ecole élémentaire 28 RUE PIERRE LAROUSSE - PARIS 14"
"6","0003","RUE DE L","ABBE CARTON",0,"",9999,"","p","Ecole élémentaire 28 RUE PIERRE LAROUSSE - PARIS 14"
"7","0004","RUE DE L","ABBE DE L EPEE",0,"",9999,"","i","Ecole élémentaire 250B RUE SAINT JACQUES - PARIS 05"
"8","0004","RUE DE L","ABBE DE L EPEE",0,"",9999,"","p","Ecole élémentaire 250B RUE SAINT JACQUES - PARIS 05"
"9","0005","PLACE","ABBE GEORGES HENOCQUE",0,"",9999,"","i","Ecole élémentaire 5 RUE DAMESME - PARIS 13"
"10","0005","PLACE","ABBE GEORGES HENOCQUE",0,"",9999,"","p","Ecole élémentaire 5 RUE DAMESME - PARIS 13"
"11","0006","RUE DE L","ABBE GILLET",0,"",9999,"","i","Ecole élémentaire 8 RUE CHERNOVIZ - PARIS 16"
"12","0006","RUE DE L","ABBE GILLET",0,"",9999,"","p","Ecole élémentaire 8 RUE CHERNOVIZ - PARIS 16"
"13","0007","PLACE DE L","ABBE JEAN LEBEUF",0,"",9999,"","i","Ecole élémentaire 69 RUE DE L'OUEST - PARIS 14"
"14","0007","PLACE DE L","ABBE JEAN LEBEUF",0,"",9999,"","p","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"15","0008","RUE DE L","ABBE GREGOIRE",0,"",17,"","i","Ecole élémentaire 6 RUE LITTRE - PARIS 06"
"16","0008","RUE DE L","ABBE GREGOIRE",17,"",9999,"","i","Ecole élémentaire 6 RUE LITTRE - PARIS 06"
"17","0008","RUE DE L","ABBE GREGOIRE",0,"",18,"","p","Ecole élémentaire 6 RUE LITTRE - PARIS 06"
"18","0008","RUE DE L","ABBE GREGOIRE",18,"",9999,"","p","Ecole élémentaire 6 RUE LITTRE - PARIS 06"
"19","0010","RUE DE L","ABBE GROULT",0,"",89,"","i","Ecole élémentaire 81 RUE MADEMOISELLE - PARIS 15"
"20","0010","RUE DE L","ABBE GROULT",89,"",111,"","i","Ecole élémentaire 28 rue Dombasle - PARIS 15"
"21","0010","RUE DE L","ABBE GROULT",111,"",9999,"","i","Ecole élémentaire 3 RUE CORBON - PARIS 15"
"22","0010","RUE DE L","ABBE GROULT",0,"",86,"","p","Ecole élémentaire 14 RUE FRANCOIS COPPEE - PARIS 15"
"23","0010","RUE DE L","ABBE GROULT",86,"",108,"","p","Ecole élémentaire 28 rue Dombasle - PARIS 15"
"24","0010","RUE DE L","ABBE GROULT",108,"",9999,"","p","Ecole élémentaire 3 RUE CORBON - PARIS 15"
"25","0011","RUE DE L","ABBE MIGNE",0,"",9999,"","i","Ecole élémentaire 9 RUE DE MOUSSY - PARIS 04"
"26","0011","RUE DE L","ABBE MIGNE",0,"",9999,"","p","Ecole élémentaire 9 RUE DE MOUSSY - PARIS 04"
"27","0012","RUE DE L","ABBE PATUREAU",0,"",9999,"","i","Ecole élémentaire 26 RUE DU MONT CENIS - PARIS 18"
"28","0012","RUE DE L","ABBE PATUREAU",0,"",9999,"","p","Ecole élémentaire 26 RUE DU MONT CENIS - PARIS 18"
"29","0013","RUE DE L","ABBE ROGER DERRY",0,"",9999,"","i","Ecole élémentaire 3 PLACE DU CARDINAL AMETTE - PARIS 15"
"30","0013","RUE DE L","ABBE ROGER DERRY",0,"",9999,"","p","Ecole élémentaire 33 BIS RUE MIOLLIS - PARIS 15"
"31","0014","RUE DE L","ABBE ROUSSELOT",0,"",9999,"","i","Ecole élémentaire 112 BOULEVARD BERTHIER - PARIS 17"
"32","0014","RUE DE L","ABBE ROUSSELOT",0,"",9999,"","p","Ecole élémentaire 112 BOULEVARD BERTHIER - PARIS 17"
"33","0015","AVENUE","ABBE ROUSSEL",0,"",9999,"","i","Ecole élémentaire 41B RUE JEAN DE LA FONTAINE - PARIS 16"
"34","0015","AVENUE","ABBE ROUSSEL",0,"",9999,"","i","Ecole maternelle 9 RUE DE BOULAINVILLIERS - PARIS 16"
"35","0015","AVENUE","ABBE ROUSSEL",0,"",9999,"","i","Ecole maternelle 18 RUE GROS - PARIS 16"
"36","0015","AVENUE","ABBE ROUSSEL",0,"",9999,"","p","Ecole élémentaire 41B RUE JEAN DE LA FONTAINE - PARIS 16"
"37","0015","AVENUE","ABBE ROUSSEL",0,"",9999,"","p","Ecole maternelle 9 RUE DE BOULAINVILLIERS - PARIS 16"
"38","0015","AVENUE","ABBE ROUSSEL",0,"",9999,"","p","Ecole maternelle 18 RUE GROS - PARIS 16"
"39","0016","PLACE DE L","ABBE BASSET",0,"",9999,"","i","Ecole élémentaire 14 RUE VICTOR COUSIN - PARIS 05"
"40","0016","PLACE DE L","ABBE BASSET",0,"",9999,"","p","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"41","0017","PASSAGE DES","ABBESSES",0,"",9999,"","i","Ecole élémentaire 15 RUE HOUDON - PARIS 18"
"42","0017","PASSAGE DES","ABBESSES",0,"",9999,"","p","Ecole élémentaire 15 RUE HOUDON - PARIS 18"
"43","0018","PLACE DES","ABBESSES",0,"",9999,"","i","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"44","0018","PLACE DES","ABBESSES",0,"",9999,"","p","Ecole élémentaire 15 RUE HOUDON - PARIS 18"
"45","0019","RUE DES","ABBESSES",0,"",9999,"","i","Ecole élémentaire 15 RUE HOUDON - PARIS 18"
"46","0019","RUE DES","ABBESSES",0,"",9999,"","p","Ecole élémentaire 15 RUE HOUDON - PARIS 18"
"47","0020","RUE DE L","ABBE SOULANGE BODIN",0,"",9999,"","i","Ecole élémentaire 69 RUE DE L'OUEST - PARIS 14"
"48","0020","RUE DE L","ABBE SOULANGE BODIN",0,"",9999,"","p","Ecole élémentaire 69 RUE DE L'OUEST - PARIS 14"
"49","0021","RUE D","ABBEVILLE",0,"",17,"","i","Ecole élémentaire 3 RUE DE BELZUNCE - PARIS 10"
"50","0021","RUE D","ABBEVILLE",17,"",9999,"","i","Ecole élémentaire 21 RUE MILTON - PARIS 09"
"51","0021","RUE D","ABBEVILLE",0,"",16,"","p","Ecole élémentaire 3 RUE DE BELZUNCE - PARIS 10"
"52","0021","RUE D","ABBEVILLE",16,"",9999,"","p","Ecole élémentaire 21 RUE MILTON - PARIS 09"
"53","0023","RUE","ABEL",0,"",9999,"","i","Ecole élémentaire 5 RUE JEAN BOUTON - PARIS 12"
"54","0023","RUE","ABEL",0,"",9999,"","i","Ecole élémentaire 40 BOULEVARD DIDEROT - PARIS 12"
"55","0023","RUE","ABEL",0,"",9999,"","p","Ecole élémentaire 5 RUE JEAN BOUTON - PARIS 12"
"56","0023","RUE","ABEL",0,"",9999,"","p","Ecole élémentaire 40 BOULEVARD DIDEROT - PARIS 12"
"57","0024","PLACE DE L","ABBE FRANZ STOCK",0,"",9999,"","i","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"58","0024","PLACE DE L","ABBE FRANZ STOCK",0,"",9999,"","p","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
